LOOPING
A9 reads 0887.  Therefore, state is: 0x0001
A8 reads 1023.  Therefore, state is: 0x0003
A7 reads 0972.  Therefore, state is: 0x0007
A6 reads 0899.  Therefore, state is: 0x000f
A5 reads 1009.  Therefore, state is: 0x001f
A4 reads 0881.  Therefore, state is: 0x003f
A3 reads 0839.  Therefore, state is: 0x007f
A2 reads 0962.  Therefore, state is: 0x00ff
A1 reads 1023.  Therefore, state is: 0x01ff
A0 reads 1023.  Therefore, state is: 0x03ff
[MAIN] State is: 0x3ff, time is:    1
LOOPING
A9 reads 0795.  Therefore, state is: 0x0001
A8 reads 1003.  Therefore, state is: 0x0003
A7 reads 1018.  Therefore, state is: 0x0007
A6 reads 0928.  Therefore, state is: 0x000f
A5 reads 0986.  Therefore, state is: 0x001f
A4 reads 0892.  Therefore, state is: 0x003f
A3 reads 0836.  Therefore, state is: 0x007f
A2 reads 0958.  Therefore, state is: 0x00ff
A1 reads 1002.  Therefore, state is: 0x01ff
A0 reads 0976.  Therefore, state is: 0x03ff
[MAIN] State is: 0x3ff, time is:    2
LOOPING
A9 reads 0893.  Therefore, state is: 0x0001
A8 reads 1023.  Therefore, state is: 0x0003
A7 reads 1019.  Therefore, state is: 0x0007
A6 reads 0897.  Therefore, state is: 0x000f
A5 reads 0889.  Therefore, state is: 0x001f
A4 reads 0833.  Therefore, state is: 0x003f
A3 reads 0786.  Therefore, state is: 0x007f
A2 reads 0885.  Therefore, state is: 0x00ff
A1 reads 0926.  Therefore, state is: 0x01ff
A0 reads 0912.  Therefore, state is: 0x03ff
[MAIN] State is: 0x3ff, time is:    3
LOOPING
A9 reads 0861.  Therefore, state is: 0x0001
A8 reads 0991.  Therefore, state is: 0x0003
A7 reads 1018.  Therefore, state is: 0x0007
A6 reads 0928.  Therefore, state is: 0x000f
A5 reads 0974.  Therefore, state is: 0x001f
A4 reads 0891.  Therefore, state is: 0x003f
A3 reads 0823.  Therefore, state is: 0x007f
A2 reads 0877.  Therefore, state is: 0x00ff
A1 reads 0926.  Therefore, state is: 0x01ff
A0 reads 0924.  Therefore, state is: 0x03ff
[MAIN] State is: 0x3ff, time is:    4
LOOPING
A9 reads 0777.  Therefore, state is: 0x0001
A8 reads 0968.  Therefore, state is: 0x0003
A7 reads 1019.  Therefore, state is: 0x0007
A6 reads 0897.  Therefore, state is: 0x000f
A5 reads 0925.  Therefore, state is: 0x001f
A4 reads 0860.  Therefore, state is: 0x003f
A3 reads 0803.  Therefore, state is: 0x007f
A2 reads 0842.  Therefore, state is: 0x00ff
A1 reads 0892.  Therefore, state is: 0x01ff
A0 reads 0878.  Therefore, state is: 0x03ff
[MAIN] State is: 0x3ff, time is:    5
LOOPING
A9 reads 0767.  Therefore, state is: 0x0001
A8 reads 0996.  Therefore, state is: 0x0003
A7 reads 1019.  Therefore, state is: 0x0007
A6 reads 0908.  Therefore, state is: 0x000f
A5 reads 0984.  Therefore, state is: 0x001f
A4 reads 0910.  Therefore, state is: 0x003f
A3 reads 0844.  Therefore, state is: 0x007f
A2 reads 0890.  Therefore, state is: 0x00ff
A1 reads 0930.  Therefore, state is: 0x01ff
A0 reads 0950.  Therefore, state is: 0x03ff
[MAIN] State is: 0x3ff, time is:    6
LOOPING
A9 reads 0858.  Therefore, state is: 0x0001
A8 reads 1012.  Therefore, state is: 0x0003
A7 reads 1019.  Therefore, state is: 0x0007
A6 reads 0899.  Therefore, state is: 0x000f
A5 reads 0749.  Therefore, state is: 0x001f
A4 reads 0726.  Therefore, state is: 0x003f
A3 reads 0695.  Therefore, state is: 0x007f
A2 reads 0656.  Therefore, state is: 0x00ff
A1 reads 0703.  Therefore, state is: 0x01ff
A0 reads 0667.  Therefore, state is: 0x03ff
[MAIN] State is: 0x3ff, time is:    7
LOOPING
A9 reads 0819.  Therefore, state is: 0x0001
A8 reads 1017.  Therefore, state is: 0x0003
A7 reads 1019.  Therefore, state is: 0x0007
A6 reads 0901.  Therefore, state is: 0x000f
A5 reads 0692.  Therefore, state is: 0x001f
A4 reads 0659.  Therefore, state is: 0x003f
A3 reads 0633.  Therefore, state is: 0x007f
A2 reads 0577.  Therefore, state is: 0x00fe
A1 reads 0645.  Therefore, state is: 0x01fd
A0 reads 0643.  Therefore, state is: 0x03fb
[MAIN] State is: 0x3fb, time is:    8
LOOPING
A9 reads 0829.  Therefore, state is: 0x0001
A8 reads 1015.  Therefore, state is: 0x0003
A7 reads 1019.  Therefore, state is: 0x0007
A6 reads 0907.  Therefore, state is: 0x000f
A5 reads 0731.  Therefore, state is: 0x001f
A4 reads 0678.  Therefore, state is: 0x003f
A3 reads 0641.  Therefore, state is: 0x007f
A2 reads 0585.  Therefore, state is: 0x00fe
A1 reads 0638.  Therefore, state is: 0x01fd
A0 reads 0665.  Therefore, state is: 0x03fb
[MAIN] State is: 0x3fb, time is:    9
LOOPING
A9 reads 0824.  Therefore, state is: 0x0001
A8 reads 1014.  Therefore, state is: 0x0003
A7 reads 1019.  Therefore, state is: 0x0007
