LOOPING
A9 reads 0392.  Therefore, state is: 0000
A8 reads 0370.  Therefore, state is: 0000
A7 reads 0394.  Therefore, state is: 0000
A6 reads 0384.  Therefore, state is: 0000
A5 reads 0366.  Therefore, state is: 0000
A4 reads 0361.  Therefore, state is: 0000
A3 reads 0377.  Therefore, state is: 0000
A2 reads 0373.  Therefore, state is: 0000
A1 reads 0354.  Therefore, state is: 0000
A0 reads 0397.  Therefore, state is: 0000
[MAIN] State is:    0, time is:    1
LOOPING
A9 reads 0524.  Therefore, state is: 0000
A4 reads 0355.  Therefore, state is: 0000
A3 reads 0361.  Therefore, state is: 0000
A2 reads 0321.  Therefore, state is: 0000
A1 reads 0274.  Therefore, state is: 0000
A6 reads 0470.  Therefore, state is: 0000
A5 reads 0384.  Therefore, state is: 0000
A8 reads 0534.  Therefore, state is: 0000
A7 reads 0563.  Therefore, state is: 0000
A0 reads 0354.  Therefore, state is: 0000
[MAIN] State is:    0, time is:    2
LOOPING
A9 reads 0388.  Therefore, state is: 0000
A8 reads 0348.  Therefore, state is: 0000
A7 reads 0375.  Therefore, state is: 0000
A6 reads 0388.  Therefore, state is: 0000
A5 reads 0434.  Therefore, state is: 0000
A4 reads 0408.  Therefore, state is: 0000
A3 reads 0407.  Therefore, state is: 0000
A2 reads 0381.  Therefore, state is: 0000
A1 reads 0323.  Therefore, state is: 0000
A0 reads 0336.  Therefore, state is: 0000
[MAIN] State is:    0, time is:    3
LOOPING
A9 reads 0207.  Therefore, state is: 0000
A8 reads 0142.  Therefore, state is: 0000
A7 reads 0276.  Therefore, state is: 0000
A6 reads 0340.  Therefore, state is: 0000
A5 reads 0315.  Therefore, state is: 0000
A4 reads 0353.  Therefore, state is: 0000
A3 reads 0385.  Therefore, state is: 0000
A2 reads 0353.  Therefore, state is: 0000
A1 reads 0348.  Therefore, state is: 0000
A0 reads 0398.  Therefore, state is: 0000
[MAIN] State is:    0, time is:    4
LOOPING
A9 reads 0558.  Therefore, state is: 0000
A8 reads 0558.  Therefore, state is: 0000
A7 reads 0474.  Therefore, state is: 0000
A6 reads 0475.  Therefore, state is: 0000
A5 reads 0659.  Therefore, state is: 0x0001
A4 reads 0582.  Therefore, state is: 0x0002
A3 reads 0562.  Therefore, state is: 0x0004
A2 reads 0611.  Therefore, state is: 0x0009
A1 reads 0578.  Therefore, state is: 0x0012
A0 reads 0583.  Therefore, state is: 0x0024
[MAIN] State is: 0x24, time is:    5
LOOPING
A9 reads 0568.  Therefore, state is: 0000
A8 reads 0616.  Therefore, state is: 0x0001
A7 reads 0615.  Therefore, state is: 0x0003
A6 reads 0517.  Therefore, state is: 0x0006
A5 reads 0603.  Therefore, state is: 0x000d
A4 reads 0575.  Therefore, state is: 0x001a
A3 reads 0558.  Therefore, state is: 0x0034
A2 reads 0696.  Therefore, state is: 0x0069
A1 reads 0732.  Therefore, state is: 0x00d3
A0 reads 0788.  Therefore, state is: 0x01a7
[MAIN] State is: 0x1a7, time is:    6
LOOPING
A9 reads 0578.  Therefore, state is: 0000
A8 reads 0462.  Therefore, state is: 0000
A7 reads 0377.  Therefore, state is: 0000
A6 reads 0417.  Therefore, state is: 0000
A5 reads 0583.  Therefore, state is: 0000
A4 reads 0507.  Therefore, state is: 0000
A3 reads 0481.  Therefore, state is: 0000
A2 reads 0546.  Therefore, state is: 0000
A1 reads 0524.  Therefore, state is: 0000
A0 reads 0521.  Therefore, state is: 0000
[MAIN] State is:    0, time is:    7
LOOPING
A9 reads 0405.  Therefore, state is: 0000
