A9 reads 0713.  Therefore, state is: 0x0001
A8 reads 0408.  Therefore, state is: 0x0002
A7 reads 0274.  Therefore, state is: 0x0004
A6 reads 0216.  Therefore, state is: 0x0008
A5 reads 0223.  Therefore, state is: 0x0010
A4 reads 0267.  Therefore, state is: 0x0020
A3 reads 0292.  Therefore, state is: 0x0040
A2 reads 0156.  Therefore, state is: 0x0080
A1 reads 0167.  Therefore, state is: 0x0100
A0 reads 0249.  Therefore, state is: 0x0200
[MAIN] State is: 0x200, time is:    1
A7 reads 0392.  Therefore, state is: 0x0004
A6 reads 0414.  Therefore, state is: 0x0008
A5 reads 0728.  Therefore, state is: 0x0011
A4 reads 0669.  Therefore, state is: 0x0023
A3 reads 0661.  Therefore, state is: 0x0047
A9 reads 0715.  Therefore, state is: 0x0001
A8 reads 0536.  Therefore, state is: 0x0002
A2 reads 0932.  Therefore, state is: 0x008f
A1 reads 1010.  Therefore, state is: 0x011f
A0 reads 0938.  Therefore, state is: 0x023f
[MAIN] State is: 0x23f, time is:    2
A9 reads 0675.  Therefore, state is: 0x0001
A8 reads 0549.  Therefore, state is: 0x0002
A7 reads 0420.  Therefore, state is: 0x0004
A6 reads 0443.  Therefore, state is: 0x0008
A5 reads 0710.  Therefore, state is: 0x0011
A4 reads 0682.  Therefore, state is: 0x0023
A3 reads 0664.  Therefore, state is: 0x0047
A2 reads 0957.  Therefore, state is: 0x008f
A1 reads 0994.  Therefore, state is: 0x011f
A0 reads 0909.  Therefore, state is: 0x023f
[MAIN] State is: 0x23f, time is:    3
A9 reads 0600.  Therefore, state is: 0000
A8 reads 0621.  Therefore, state is: 0x0001
A7 reads 0461.  Therefore, state is: 0x0002
A6 reads 0479.  Therefore, state is: 0x0004
A5 reads 0693.  Therefore, state is: 0x0009
A4 reads 0686.  Therefore, state is: 0x0013
A3 reads 0671.  Therefore, state is: 0x0027
A2 reads 0970.  Therefore, state is: 0x004f
A1 reads 1018.  Therefore, state is: 0x009f
A0 reads 0943.  Therefore, state is: 0x013f
[MAIN] State is: 0x13f, time is:    4
A9 reads 0595.  Therefore, state is: 0000
A8 reads 0561.  Therefore, state is: 0000
A7 reads 0500.  Therefore, state is: 0000
A6 reads 0484.  Therefore, state is: 0000
A5 reads 0744.  Therefore, state is: 0x0001
A4 reads 0721.  Therefore, state is: 0x0003
A3 reads 0692.  Therefore, state is: 0x0007
A2 reads 0967.  Therefore, state is: 0x000f
A1 reads 1012.  Therefore, state is: 0x001f
A0 reads 0974.  Therefore, state is: 0x003f
[MAIN] State is: 0x3f, time is:    5
A9 reads 0581.  Therefore, state is: 0000
A8 reads 0464.  Therefore, state is: 0000
A7 reads 0497.  Therefore, state is: 0000
A6 reads 0514.  Therefore, state is: 0000
A5 reads 0734.  Therefore, state is: 0x0001
A4 reads 0715.  Therefore, state is: 0x0003
