A9 reads 0066.  Therefore, state is: 0000
A8 reads 0258.  Therefore, state is: 0000
A7 reads 0342.  Therefore, state is: 0000
A6 reads 0353.  Therefore, state is: 0000
A5 reads 0394.  Therefore, state is: 0000
A4 reads 0379.  Therefore, state is: 0000
A3 reads 0380.  Therefore, state is: 0000
A2 reads 0583.  Therefore, state is: 0000
A1 reads 0461.  Therefore, state is: 0000
A0 reads 0422.  Therefore, state is: 0000
[MAIN] State is:    0, time is:   18
A9 reads 0060.  Therefore, state is: 0000
A8 reads 0182.  Therefore, state is: 0000
A7 reads 0258.  Therefore, state is: 0000
A6 reads 0303.  Therefore, state is: 0000
A5 reads 0308.  Therefore, state is: 0000
A4 reads 0311.  Therefore, state is: 0000
A3 reads 0314.  Therefore, state is: 0000
A2 reads 0464.  Therefore, state is: 0000
A1 reads 0357.  Therefore, state is: 0000
A0 reads 0353.  Therefore, state is: 0000
[MAIN] State is:    0, time is:   19
A9 reads 0060.  Therefore, state is: 0000
A8 reads 0081.  Therefore, state is: 0000
A7 reads 0231.  Therefore, state is: 0000
A6 reads 0263.  Therefore, state is: 0000
A5 reads 0279.  Therefore, state is: 0000
A4 reads 0290.  Therefore, state is: 0000
A3 reads 0299.  Therefore, state is: 0000
A2 reads 0454.  Therefore, state is: 0000
A1 reads 0367.  Therefore, state is: 0000
A0 reads 0354.  Therefore, state is: 0000
[MAIN] State is:    0, time is:   20
A9 reads 0063.  Therefore, state is: 0000
A6 reads 0267.  Therefore, state is: 0000
A5 reads 0317.  Therefore, state is: 0000
A8 reads 0212.  Therefore, state is: 0000
A7 reads 0246.  Therefore, state is: 0000
A4 reads 0313.  Therefore, state is: 0000
A3 reads 0312.  Therefore, state is: 0000
A2 reads 0450.  Therefore, state is: 0000
A1 reads 0387.  Therefore, state is: 0000
A0 reads 0368.  Therefore, state is: 0000
[MAIN] State is:    0, time is:   21
A9 reads 0060.  Therefore, state is: 0000
A8 reads 0187.  Therefore, state is: 0000
A7 reads 0240.  Therefore, state is: 0000
A6 reads 0257.  Therefore, state is: 0000
A5 reads 0292.  Therefore, state is: 0000
A4 reads 0293.  Therefore, state is: 0000
A3 reads 0294.  Therefore, state is: 0000
A2 reads 0430.  Therefore, state is: 0000
A1 reads 0360.  Therefore, state is: 0000
A0 reads 0348.  Therefore, state is: 0000
[MAIN] State is:    0, time is:   22
A9 reads 0060.  Therefore, state is: 0000
A8 reads 0045.  Therefore, state is: 0000
A7 reads 0211.  Therefore, state is: 0000
A6 reads 0237.  Therefore, state is: 0000
A5 reads 0275.  Therefore, state is: 0000
A4 reads 0285.  Therefore, state is: 0000
A3 reads 0291.  Therefore, state is: 0000
A2 reads 0421.  Therefore, state is: 0000
A1 reads 0374.  Therefore, state is: 0000
A0 reads 0358.  Therefore, state is: 0000
[MAIN] State is:    0, time is:   23
A9 reads 0061.  Therefore, state is: 0000
A8 reads 0140.  Therefore, state is: 0000
A7 reads 0219.  Therefore, state is: 0000
A6 reads 0241.  Therefore, state is: 0000
A5 reads 0303.  Therefore, state is: 0000
A4 reads 0302.  Therefore, state is: 0000
A3 reads 0301.  Therefore, state is: 0000
A2 reads 0412.  Therefore, state is: 0000
A1 reads 0384.  Therefore, state is: 0000
A0 reads 0364.  Therefore, state is: 0000
[MAIN] State is:    0, time is:   24
A9 reads 0059.  Therefore, state is: 0000
A8 reads 0102.  Therefore, state is: 0000
A7 reads 0207.  Therefore, state is: 0000
A6 reads 0229.  Therefore, state is: 0000
A5 reads 0262.  Therefore, state is: 0000
A4 reads 0271.  Therefore, state is: 0000
A3 reads 0278.  Therefore, state is: 0000
A2 reads 0393.  Therefore, state is: 0000
A1 reads 0355.  Therefore, state is: 0000
A0 reads 0342.  Therefore, state is: 0000
[MAIN] State is:    0, time is:   25
A9 reads 0061.  Therefore, state is: 0000
A8 reads 0041.  Therefore, state is: 0000
A7 reads 0192.  Therefore, state is: 0000
A6 reads 0219.  Therefore, state is: 0000
A5 reads 0264.  Therefore, state is: 0000
A4 reads 0273.  Therefore, state is: 0000
A3 reads 0280.  Therefore, state is: 0000
A2 reads 0397.  Therefore, state is: 0000
A1 reads 0372.  Therefore, state is: 0000
A0 reads 0354.  Therefore, state is: 0000
[MAIN] State is:    0, time is:   26
A9 reads 0062.  Therefore, state is: 0000
A8 reads 0180.  Therefore, state is: 0000
A7 reads 0217.  Therefore, state is: 0000
A6 reads 0232.  Therefore, state is: 0000
A5 reads 0294.  Therefore, state is: 0000
A4 reads 0294.  Therefore, state is: 0000
A3 reads 0293.  Therefore, state is: 0000
A2 reads 0400.  Therefore, state is: 0000
A1 reads 0381.  Therefore, state is: 0000
A0 reads 0359.  Therefore, state is: 0000
[MAIN] State is:    0, time is:   27
A9 reads 0060.  Therefore, state is: 0000
A8 reads 0153.  Therefore, state is: 0000
A7 reads 0215.  Therefore, state is: 0000
A6 reads 0229.  Therefore, state is: 0000
A5 reads 0255.  Therefore, state is: 0000
A4 reads 0264.  Therefore, state is: 0000
A3 reads 0271.  Therefore, state is: 0000
A2 reads 0383.  Therefore, state is: 0000
A1 reads 0351.  Therefore, state is: 0000
A0 reads 0337.  Therefore, state is: 0000
[MAIN] State is:    0, time is:   28
A9 reads 0061.  Therefore, state is: 0000
A8 reads 0076.  Therefore, state is: 0000
A7 reads 0203.  Therefore, state is: 0000
A6 reads 0223.  Therefore, state is: 0000
[MAIN] State is:    0, time is:   29
A1 reads 0367.  Therefore, state is: 0000
A0 reads 0349.  Therefore, state is: 0000
A3 reads 0274.  Therefore, state is: 0000
A2 reads 0389.  Therefore, state is: 0000
A5 reads 0259.  Therefore, state is: 0000
A4 reads 0268.  Therefore, state is: 0000
A9 reads 0062.  Therefore, state is: 0000
A8 reads 0214.  Therefore, state is: 0000
A7 reads 0230.  Therefore, state is: 0000
A6 reads 0238.  Therefore, state is: 0000
A5 reads 0291.  Therefore, state is: 0000
A4 reads 0289.  Therefore, state is: 0000
A3 reads 0289.  Therefore, state is: 0000
A2 reads 0389.  Therefore, state is: 0000
A1 reads 0378.  Therefore, state is: 0000
A0 reads 0353.  Therefore, state is: 0000
[MAIN] State is:    0, time is:   30
A9 reads 0060.  Therefore, state is: 0000
A8 reads 0176.  Therefore, state is: 0000
A7 reads 0227.  Therefore, state is: 0000
A6 reads 0235.  Therefore, state is: 0000
A5 reads 0257.  Therefore, state is: 0000
A4 reads 0263.  Therefore, state is: 0000
A3 reads 0268.  Therefore, state is: 0000
A2 reads 0378.  Therefore, state is: 0000
A1 reads 0350.  Therefore, state is: 0000
A0 reads 0333.  Therefore, state is: 0000
[MAIN] State is:    0, time is:   31
A9 reads 0061.  Therefore, state is: 0000A7 reads 0218.  Therefore, state is: 0000
A6 reads 0231.  Therefore, state is: 0000
A5 reads 0266.  Therefore, state is: 0000
A4 reads 0272.  Therefore, state is: 0000
A3 reads 0276.  Therefore, state is: 0000
A2 reads 0385.  Therefore, state is: 0000

A8 reads 0104.  Therefore, state is: 0000
A1 reads 0372.  Therefore, state is: 0000
A0 reads 0348.  Therefore, state is: 0000
[MAIN] State is:    0, time is:   32
A9 reads 0062.  Therefore, state is: 0000
A8 reads 0221.  Therefore, state is: 0000
A7 reads 0239.  Therefore, state is: 0000
A6 reads 0242.  Therefore, state is: 0000
A5 reads 0291.  Therefore, state is: 0000
A4 reads 0288.  Therefore, state is: 0000
A3 reads 0286.  Therefore, state is: 0000
A2 reads 0390.  Therefore, state is: 0000
A1 reads 0374.  Therefore, state is: 0000
A0 reads 0348.  Therefore, state is: 0000
[MAIN] State is:    0, time is:   33
A9 reads 0059.  Therefore, state is: 0000
A8 reads 0133.  Therefore, state is: 0000
A7 reads 0222.  Therefore, state is: 0000
A6 reads 0230.  Therefore, state is: 0000
A5 reads 0243.  Therefore, state is: 0000
A4 reads 0252.  Therefore, state is: 0000
A3 reads 0260.  Therefore, state is: 0000
A2 reads 0375.  Therefore, state is: 0000
A1 reads 0349.  Therefore, state is: 0000
A0 reads 0330.  Therefore, state is: 0000
[MAIN] State is:    0, time is:   34
A9 reads 0062.  Therefore, state is: 0000
A8 reads 0110.  Therefore, state is: 0000
A7 reads 0218.  Therefore, state is: 0000
A6 reads 0228.  Therefore, state is: 0000
A5 reads 0265.  Therefore, state is: 0000
A4 reads 0270.  Therefore, state is: 0000
A3 reads 0272.  Therefore, state is: 0000
A2 reads 0388.  Therefore, state is: 0000
A1 reads 0374.  Therefore, state is: 0000
A0 reads 0348.  Therefore, state is: 0000
[MAIN] State is:    0, time is:   35
A9 reads 0062.  Therefore, state is: 0000
A8 reads 0228.  Therefore, state is: 0000
A7 reads 0240.  Therefore, state is: 0000
A6 reads 0240.  Therefore, state is: 0000
