AA reads 0398.  Therefore, state is: 0000
A8 reads 0001.  Therefore, state is: 0000
A7 reads 0005.  Therefore, state is: 0000
A6 reads 0055.  Therefore, state is: 0000
A5 reads 0004.  Therefore, state is: 0000
A4 reads 0000.  Therefore, state is: 0000
A3 reads 0000.  Therefore, state is: 0000
A2 reads 0000.  Therefore, state is: 0000
A1 reads 0000.  Therefore, state is: 0000
A0 reads 0000.  Therefore, state is: 0000
[MAIN] State is:    0, time is:    1
AA reads 0394.  Therefore, state is: 0000
A8 reads 0001.  Therefore, state is: 0000
A7 reads 0005.  Therefore, state is: 0000
A6 reads 0089.  Therefore, state is: 0000
A5 reads 0005.  Therefore, state is: 0000
A4 reads 0000.  Therefore, state is: 0000
A3 reads 0000.  Therefore, state is: 0000
A2 reads 0000.  Therefore, state is: 0000
A1 reads 0000.  Therefore, state is: 0000
A0 reads 0000.  Therefore, state is: 0000
[MAIN] State is:    0, time is:    2
AA reads 0408.  Therefore, state is: 0000
A8 reads 0001.  Therefore, state is: 0000
A7 reads 0005.  Therefore, state is: 0000
A6 reads 0062.  Therefore, state is: 0000
A5 reads 0004.  Therefore, state is: 0000
A4 reads 0000.  Therefore, state is: 0000
A3 reads 0000.  Therefore, state is: 0000
A2 reads 0000.  Therefore, state is: 0000
A1 reads 0000.  Therefore, state is: 0000
A0 reads 0000.  Therefore, state is: 0000
[MAIN] State is:    0, time is:    3
AA reads 0419.  Therefore, state is: 0000
A8 reads 0001.  Therefore, state is: 0000
A7 reads 0005.  Therefore, state is: 0000
A6 reads 0056.  Therefore, state is: 0000
A5 reads 0005.  Therefore, state is: 0000
A4 reads 0000.  Therefore, state is: 0000
A3 reads 0000.  Therefore, state is: 0000
A2 reads 0000.  Therefore, state is: 0000
A1 reads 0000.  Therefore, state is: 0000
A0 reads 0000.  Therefore, state is: 0000
[MAIN] State is:    0, time is:    4
AA reads 0416.  Therefore, state is: 0000
A8 reads 0001.  Therefore, state is: 0000
A7 reads 0005.  Therefore, state is: 0000
A6 reads 0056.  Therefore, state is: 0000
A5 reads 0004.  Therefore, state is: 0000
A4 reads 0000.  Therefore, state is: 0000
A3 reads 0000.  Therefore, state is: 0000
A2 reads 0000.  Therefore, state is: 0000
A1 reads 0000.  Therefore, state is: 0000
A0 reads 0000.  Therefore, state is: 0000
[MAIN] State is:    0, time is:    5
AA reads 0414.  Therefore, state is: 0000
A8 reads 0001.  Therefore, state is: 0000
A7 reads 0005.  Therefore, state is: 0000
A6 reads 0055.  Therefore, state is: 0000
A5 reads 0004.  Therefore, state is: 0000
A4 reads 0000.  Therefore, state is: 0000
A3 reads 0000.  Therefore, state is: 0000
A2 reads 0000.  Therefore, state is: 0000
A1 reads 0000.  Therefore, state is: 0000
A0 reads 0000.  Therefore, state is: 0000
[MAIN] State is:    0, time is:    6
AA reads 0414.  Therefore, state is: 0000
A8 reads 0001.  Therefore, state is: 0000
A7 reads 0005.  Therefore, state is: 0000
A6 reads 0054.  Therefore, state is: 0000
A5 reads 0005.  Therefore, state is: 0000
A4 reads 0000.  Therefore, state is: 0000
A3 reads 0000.  Therefore, state is: 0000
A2 reads 0000.  Therefore, state is: 0000
A1 reads 0000.  Therefore, state is: 0000
A0 reads 0000.  Therefore, state is: 0000
[MAIN] State is:    0, time is:    7
AA reads 0415.  Therefore, state is: 0000
A8 reads 0001.  Therefore, state is: 0000
A7 reads 0005.  Therefore, state is: 0000
A6 reads 0054.  Therefore, state is: 0000
A5 reads 0004.  Therefore, state is: 0000
A4 reads 0000.  Therefore, state is: 0000
A3 reads 0000.  Therefore, state is: 0000
A2 reads 0000.  Therefore, state is: 0000
A1 reads 0000.  Therefore, state is: 0000
A0 reads 0000.  Therefore, state is: 0000
[MAIN] State is:    0, time is:    8
AA reads 0402.  Therefore, state is: 0000
A8 reads 0001.  Therefore, state is: 0000
A7 reads 0005.  Therefore, state is: 0000
A6 reads 0054.  Therefore, state is: 0000
A5 reads 0005.  Therefore, state is: 0000
A4 reads 0000.  Therefore, state is: 0000
A3 reads 0000.  Therefore, state is: 0000
A2 reads 0000.  Therefore, state is: 0000
A1 reads 0000.  Therefore, state is: 0000
A0 reads 0000.  Therefore, state is: 0000
[MAIN] State is:    0, time is:    9
AA reads 0407.  Therefore, state is: 0000
A8 reads 0001.  Therefore, state is: 0000
A7 reads 0005.  Therefore, state is: 0000
A6 reads 0053.  Therefore, state is: 0000
A5 reads 0004.  Therefore, state is: 0000
A4 reads 0000.  Therefore, state is: 0000
A3 reads 0000.  Therefore, state is: 0000
A2 reads 0000.  Therefore, state is: 0000
A1 reads 0000.  Therefore, state is: 0000
A0 reads 0000.  Therefore, state is: 0000
[MAIN] State is:    0, time is:   10
AA reads 0410.  Therefore, state is: 0000
A8 reads 0002.  Therefore, state is: 0000
A7 reads 0005.  Therefore, state is: 0000
A6 reads 0053.  Therefore, state is: 0000
A5 reads 0004.  Therefore, state is: 0000
A4 reads 0000.  Therefore, state is: 0000
A3 reads 0000.  Therefore, state is: 0000
A2 reads 0000.  Therefore, state is: 0000
A1 reads 0000.  Therefore, state is: 0000
A0 reads 0000.  Therefore, state is: 0000
[MAIN] State is:    0, time is:   11
AA reads 0408.  Therefore, state is: 0000
A8 reads 0001.  Therefore, state is: 0000
A7 reads 0004.  Therefore, state is: 0000
A6 reads 0053.  Therefore, state is: 0000
A5 reads 0004.  Therefore, state is: 0000
A4 reads 0000.  Therefore, state is: 0000
A3 reads 0000.  Therefore, state is: 0000
A2 reads 0000.  Therefore, state is: 0000
A1 reads 0000.  Therefore, state is: 0000
A0 reads 0000.  Therefore, state is: 0000
[MAIN] State is:    0, time is:   12
AA reads 0412.  Therefore, state is: 0000
A8 reads 0001.  Therefore, state is: 0000
A7 reads 0005.  Therefore, state is: 0000
A6 reads 0053.  Therefore, state is: 0000
A5 reads 0004.  Therefore, state is: 0000
A4 reads 0000.  Therefore, state is: 0000
A3 reads 0000.  Therefore, state is: 0000
A2 reads 0000.  Therefore, state is: 0000
A1 reads 0000.  Therefore, state is: 0000
A0 reads 0000.  Therefore, state is: 0000
[MAIN] State is:    0, time is:   13
AA reads 0414.  Therefore, state is: 0000
A8 reads 0001.  Therefore, state is: 0000
A7 reads 0005.  Therefore, state is: 0000
A6 reads 0053.  Therefore, state is: 0000
A5 reads 0005.  Therefore, state is: 0000
A4 reads 0000.  Therefore, state is: 0000
A3 reads 0000.  Therefore, state is: 0000
A2 reads 0000.  Therefore, state is: 0000
A1 reads 0000.  Therefore, state is: 0000
A0 reads 0000.  Therefore, state is: 0000
[MAIN] State is:    0, time is:   14
AA reads 0413.  Therefore, state is: 0000
A8 reads 0001.  Therefore, state is: 0000
A7 reads 0005.  Therefore, state is: 0000
A6 reads 0053.  Therefore, state is: 0000
A5 reads 0004.  Therefore, state is: 0000
A4 reads 0000.  Therefore, state is: 0000
A3 reads 0000.  Therefore, state is: 0000
A2 reads 0000.  Therefore, state is: 0000
A1 reads 0000.  Therefore, state is: 0000
A0 reads 0000.  Therefore, state is: 0000
[MAIN] State is:    0, time is:   15
AA reads 0411.  Therefore, state is: 0000
A8 reads 0001.  Therefore, state is: 0000
A7 reads 0005.  Therefore, state is: 0000
A6 reads 0053.  Therefore, state is: 0000
A5 reads 0005.  Therefore, state is: 0000
A4 reads 0000.  Therefore, state is: 0000
A3 reads 0000.  Therefore, state is: 0000
A2 reads 0000.  Therefore, state is: 0000
A1 reads 0000.  Therefore, state is: 0000
A0 reads 0000.  Therefore, state is: 0000
[MAIN] State is:    0, time is:   16
AA reads 0411.  Therefore, state is: 0000
A8 reads 0001.  Therefore, state is: 0000
A7 reads 0005.  Therefore, state is: 0000
A6 reads 0052.  Therefore, state is: 0000
A5 reads 0004.  Therefore, state is: 0000
A4 reads 0000.  Therefore, state is: 0000
A3 reads 0000.  Therefore, state is: 0000
A2 reads 0000.  Therefore, state is: 0000
A1 reads 0000.  Therefore, state is: 0000
A0 reads 0000.  Therefore, state is: 0000
[MAIN] State is:    0, time is:   17
AA reads 0410.  Therefore, state is: 0000
A8 reads 0002.  Therefore, state is: 0000
A7 reads 0005.  Therefore, state is: 0000
A6 reads 0052.  Therefore, state is: 0000
A5 reads 0004.  Therefore, state is: 0000
A4 reads 0000.  Therefore, state is: 0000
A3 reads 0000.  Therefore, state is: 0000
A2 reads 0000.  Therefore, state is: 0000
A1 reads 0000.  Therefore, state is: 0000
A0 reads 0000.  Therefore, state is: 0000
[MAIN] State is:    0, time is:   18
AA reads 0413.  Therefore, state is: 0000
A8 reads 0002.  Therefore, state is: 0000
A7 reads 0005.  Therefore, state is: 0000
A6 reads 0052.  Therefore, state is: 0000
A5 reads 0005.  Therefore, state is: 0000
A4 reads 0000.  Therefore, state is: 0000
A3 reads 0000.  Therefore, state is: 0000
A2 reads 0000.  Therefore, state is: 0000
A1 reads 0000.  Therefore, state is: 0000
A0 reads 0000.  Therefore, state is: 0000
[MAIN] State is:    0, time is:   19
AA reads 0412.  Therefore, state is: 0000
A8 reads 0002.  Therefore, state is: 0000
A7 reads 0005.  Therefore, state is: 0000
A6 reads 0052.  Therefore, state is: 0000
A5 reads 0004.  Therefore, state is: 0000
A4 reads 0000.  Therefore, state is: 0000
A3 reads 0000.  Therefore, state is: 0000
A2 reads 0000.  Therefore, state is: 0000
A1 reads 0000.  Therefore, state is: 0000
A0 reads 0000.  Therefore, state is: 0000
[MAIN] State is:    0, time is:   20
AA reads 0413.  Therefore, state is: 0000
A8 reads 0002.  Therefore, state is: 0000
A7 reads 0005.  Therefore, state is: 0000
A6 reads 0052.  Therefore, state is: 0000
A5 reads 0005.  Therefore, state is: 0000
A4 reads 0000.  Therefore, state is: 0000
A3 reads 0000.  Therefore, state is: 0000
A2 reads 0000.  Therefore, state is: 0000
A1 reads 0000.  Therefore, state is: 0000
A0 reads 0000.  Therefore, state is: 0000
[MAIN] State is:    0, time is:   21
AA reads 0414.  Therefore, state is: 0000
A8 reads 0001.  Therefore, state is: 0000
A7 reads 0005.  Therefore, state is: 0000
A6 reads 0052.  Therefore, state is: 0000
A5 reads 0004.  Therefore, state is: 0000
A4 reads 0000.  Therefore, state is: 0000
A3 reads 0000.  Therefore, state is: 0000
A2 reads 0000.  Therefore, state is: 0000
A1 reads 0000.  Therefore, state is: 0000
A0 reads 0000.  Therefore, state is: 0000
[MAIN] State is:    0, time is:   22
AA reads 0413.  Therefore, state is: 0000
A8 reads 0002.  Therefore, state is: 0000
A7 reads 0005.  Therefore, state is: 0000
A6 reads 0052.  Therefore, state is: 0000
A5 reads 0005.  Therefore, state is: 0000
A4 reads 0000.  Therefore, state is: 0000
A3 reads 0000.  Therefore, state is: 0000
A2 reads 0000.  Therefore, state is: 0000
A1 reads 0000.  Therefore, state is: 0000
A0 reads 0000.  Therefore, state is: 0000
[MAIN] State is:    0, time is:   23
AA reads 0413.  Therefore, state is: 0000
A8 reads 0001.  Therefore, state is: 0000
A7 reads 0005.  Therefore, state is: 0000
A6 reads 0052.  Therefore, state is: 0000
A5 reads 0004.  Therefore, state is: 0000
A4 reads 0000.  Therefore, state is: 0000
A3 reads 0000.  Therefore, state is: 0000
A2 reads 0000.  Therefore, state is: 0000
A1 reads 0000.  Therefore, state is: 0000
A0 reads 0000.  Therefore, state is: 0000
[MAIN] State is:    0, time is:   24
AA reads 0413.  Therefore, state is: 0000
A8 reads 0002.  Therefore, state is: 0000
A7 reads 0005.  Therefore, state is: 0000
A6 reads 0052.  Therefore, state is: 0000
A5 reads 0004.  Therefore, state is: 0000
A4 reads 0000.  Therefore, state is: 0000
A3 reads 0000.  Therefore, state is: 0000
A2 reads 0000.  Therefore, state is: 0000
A1 reads 0000.  Therefore, state is: 0000
A0 reads 0000.  Therefore, state is: 0000
[MAIN] State is:    0, time is:   25
AA reads 0413.  Therefore, state is: 0000
A8 reads 0001.  Therefore, state is: 0000
A7 reads 0004.  Therefore, state is: 0000
A6 reads 0052.  Therefore, state is: 0000
A5 reads 0004.  Therefore, state is: 0000
A4 reads 0000.  Therefore, state is: 0000
A3 reads 0000.  Therefore, state is: 0000
A2 reads 0000.  Therefore, state is: 0000
A1 reads 0000.  Therefore, state is: 0000
A0 reads 0000.  Therefore, state is: 0000
[MAIN] State is:    0, time is:   26
AA reads 0410.  Therefore, state is: 0000
A8 reads 0002.  Therefore, state is: 0000
A7 reads 0005.  Therefore, state is: 0000
A6 reads 0051.  Therefore, state is: 0000
A5 reads 0004.  Therefore, state is: 0000
A4 reads 0000.  Therefore, state is: 0000
A3 reads 0000.  Therefore, state is: 0000
A2 reads 0000.  Therefore, state is: 0000
A1 reads 0000.  Therefore, state is: 0000
A0 reads 0000.  Therefore, state is: 0000
[MAIN] State is:    0, time is:   27
AA reads 0412.  Therefore, state is: 0000
A8 reads 0002.  Therefore, state is: 0000
A7 reads 0005.  Therefore, state is: 0000
A6 reads 0052.  Therefore, state is: 0000
A5 reads 0005.  Therefore, state is: 0000
A4 reads 0000.  Therefore, state is: 0000
A3 reads 0000.  Therefore, state is: 0000
A2 reads 0000.  Therefore, state is: 0000
A1 reads 0000.  Therefore, state is: 0000
A0 reads 0000.  Therefore, state is: 0000
[MAIN] State is:    0, time is:   28
AA reads 0414.  Therefore, state is: 0000
A8 reads 0002.  Therefore, state is: 0000
A7 reads 0005.  Therefore, state is: 0000
A6 reads 0052.  Therefore, state is: 0000
A5 reads 0004.  Therefore, state is: 0000
A4 reads 0000.  Therefore, state is: 0000
A3 reads 0000.  Therefore, state is: 0000
A2 reads 0000.  Therefore, state is: 0000
A1 reads 0000.  Therefore, state is: 0000
A0 reads 0000.  Therefore, state is: 0000
[MAIN] State is:    0, time is:   29
AA reads 0412.  Therefore, state is: 0000
A8 reads 0002.  Therefore, state is: 0000
A7 reads 0005.  Therefore, state is: 0000
A6 reads 0052.  Therefore, state is: 0000
A5 reads 0005.  Therefore, state is: 0000
