AA reads 0422.  Therefore, state is: 0x0001
A8 reads 0002.  Therefore, state is: 0x0002
A7 reads 0003.  Therefore, state is: 0x0004
A6 reads 0041.  Therefore, state is: 0x0008
A5 reads 0004.  Therefore, state is: 0x0010
A4 reads 0000.  Therefore, state is: 0x0020
A3 reads 0000.  Therefore, state is: 0x0040
A2 reads 0000.  Therefore, state is: 0x0080
A1 reads 0000.  Therefore, state is: 0x0100
A0 reads 0000.  Therefore, state is: 0x0200
[MAIN] State is: 0x200, time is:  298
AA reads 0419.  Therefore, state is: 0x0001
A8 reads 0003.  Therefore, state is: 0x0002
A7 reads 0004.  Therefore, state is: 0x0004
A6 reads 0047.  Therefore, state is: 0x0008
A5 reads 0004.  Therefore, state is: 0x0010
A4 reads 0000.  Therefore, state is: 0x0020
A3 reads 0000.  Therefore, state is: 0x0040
A2 reads 0000.  Therefore, state is: 0x0080
A1 reads 0000.  Therefore, state is: 0x0100
A0 reads 0000.  Therefore, state is: 0x0200
[MAIN] State is: 0x200, time is:  299
AA reads 0421.  Therefore, state is: 0x0001
A8 reads 0002.  Therefore, state is: 0x0002
A7 reads 0004.  Therefore, state is: 0x0004
A6 reads 0047.  Therefore, state is: 0x0008
A5 reads 0005.  Therefore, state is: 0x0010
A4 reads 0000.  Therefore, state is: 0x0020
A3 reads 0000.  Therefore, state is: 0x0040
A2 reads 0000.  Therefore, state is: 0x0080
A1 reads 0000.  Therefore, state is: 0x0100
A0 reads 0000.  Therefore, state is: 0x0200
[MAIN] State is: 0x200, time is:  300
AA reads 0423.  Therefore, state is: 0x0001
A8 reads 0002.  Therefore, state is: 0x0002
A7 reads 0004.  Therefore, state is: 0x0004
A6 reads 0047.  Therefore, state is: 0x0008
A5 reads 0005.  Therefore, state is: 0x0010
A4 reads 0000.  Therefore, state is: 0x0020
A3 reads 0000.  Therefore, state is: 0x0040
A2 reads 0000.  Therefore, state is: 0x0080
A1 reads 0000.  Therefore, state is: 0x0100
A0 reads 0000.  Therefore, state is: 0x0200
[MAIN] State is: 0x200, time is:  301
AA reads 0416.  Therefore, state is: 0x0001
A8 reads 0002.  Therefore, state is: 0x0002
A7 reads 0004.  Therefore, state is: 0x0004
A6 reads 0047.  Therefore, state is: 0x0008
A5 reads 0004.  Therefore, state is: 0x0010
A4 reads 0000.  Therefore, state is: 0x0020
A3 reads 0000.  Therefore, state is: 0x0040
A2 reads 0000.  Therefore, state is: 0x0080
A1 reads 0000.  Therefore, state is: 0x0100
A0 reads 0000.  Therefore, state is: 0x0200
[MAIN] State is: 0x200, time is:  302
AA reads 0420.  Therefore, state is: 0x0001
A8 reads 0002.  Therefore, state is: 0x0002
A7 reads 0005.  Therefore, state is: 0x0004
A6 reads 0048.  Therefore, state is: 0x0008
A5 reads 0005.  Therefore, state is: 0x0010
A4 reads 0000.  Therefore, state is: 0x0020
A3 reads 0000.  Therefore, state is: 0x0040
A2 reads 0000.  Therefore, state is: 0x0080
A1 reads 0000.  Therefore, state is: 0x0100
A0 reads 0000.  Therefore, state is: 0x0200
[MAIN] State is: 0x200, time is:  303
AA reads 0421.  Therefore, state is: 0x0001
A8 reads 0002.  Therefore, state is: 0x0002
A7 reads 0004.  Therefore, state is: 0x0004
A6 reads 0048.  Therefore, state is: 0x0008
A5 reads 0004.  Therefore, state is: 0x0010
A4 reads 0000.  Therefore, state is: 0x0020
A3 reads 0000.  Therefore, state is: 0x0040
A2 reads 0000.  Therefore, state is: 0x0080
A1 reads 0000.  Therefore, state is: 0x0100
A0 reads 0000.  Therefore, state is: 0x0200
[MAIN] State is: 0x200, time is:  304
AA reads 0412.  Therefore, state is: 0x0001
A8 reads 0002.  Therefore, state is: 0x0002
A7 reads 0003.  Therefore, state is: 0x0004
A6 reads 0047.  Therefore, state is: 0x0008
A5 reads 0004.  Therefore, state is: 0x0010
A4 reads 0000.  Therefore, state is: 0x0020
A3 reads 0000.  Therefore, state is: 0x0040
A2 reads 0000.  Therefore, state is: 0x0080
A1 reads 0000.  Therefore, state is: 0x0100
A0 reads 0000.  Therefore, state is: 0x0200
[MAIN] State is: 0x200, time is:  305
AA reads 0423.  Therefore, state is: 0x0001
A8 reads 0002.  Therefore, state is: 0x0002
A7 reads 0004.  Therefore, state is: 0x0004
A6 reads 0047.  Therefore, state is: 0x0008
A5 reads 0004.  Therefore, state is: 0x0010
A4 reads 0000.  Therefore, state is: 0x0020
