LOOPING
A9 reads 0267.  Therefore, state is: 0000
A8 reads 0270.  Therefore, state is: 0000
A7 reads 0273.  Therefore, state is: 0000
A6 reads 0298.  Therefore, state is: 0000
A5 reads 0282.  Therefore, state is: 0000
A4 reads 0279.  Therefore, state is: 0000
A3 reads 0281.  Therefore, state is: 0000
A2 reads 0275.  Therefore, state is: 0000
A1 reads 0290.  Therefore, state is: 0000
A0 reads 0287.  Therefore, state is: 0000
State is:    0, value of A0 is:  281
LOOPING
A9 reads 0424.  Therefore, state is: 0000
A8 reads 0425.  Therefore, state is: 0000
A7 reads 0424.  Therefore, state is: 0000
A6 reads 0352.  Therefore, state is: 0000
A5 reads 0413.  Therefore, state is: 0000
A4 reads 0375.  Therefore, state is: 0000
A3 reads 0357.  Therefore, state is: 0000
A2 reads 0374.  Therefore, state is: 0000
A1 reads 0392.  Therefore, state is: 0000
A0 reads 0377.  Therefore, state is: 0000
State is:    0, value of A0 is:  377
LOOPING
A9 reads 0282.  Therefore, state is: 0000
A8 reads 0278.  Therefore, state is: 0000
A7 reads 0274.  Therefore, state is: 0000
A6 reads 0314.  Therefore, state is: 0000
A5 reads 0273.  Therefore, state is: 0000
A4 reads 0279.  Therefore, state is: 0000
A3 reads 0280.  Therefore, state is: 0000
A2 reads 0252.  Therefore, state is: 0000
A1 reads 0266.  Therefore, state is: 0000
A0 reads 0263.  Therefore, state is: 0000
State is:    0, value of A0 is:  264
LOOPING
A9 reads 0305.  Therefore, state is: 0000
A8 reads 0306.  Therefore, state is: 0000
A7 reads 0308.  Therefore, state is: 0000
A6 reads 0285.  Therefore, state is: 0000
A5 reads 0315.  Therefore, state is: 0000
A4 reads 0309.  Therefore, state is: 0000
A3 reads 0305.  Therefore, state is: 0000
A2 reads 0305.  Therefore, state is: 0000
A1 reads 0320.  Therefore, state is: 0000
A0 reads 0313.  Therefore, state is: 0000
State is:    0, value of A0 is:  315
LOOPING
A9 reads 0445.  Therefore, state is: 0000
A8 reads 0446.  Therefore, state is: 0000
A7 reads 0443.  Therefore, state is: 0000
A6 reads 0385.  Therefore, state is: 0000
A5 reads 0431.  Therefore, state is: 0000
A4 reads 0392.  Therefore, state is: 0000
A3 reads 0372.  Therefore, state is: 0000
A2 reads 0391.  Therefore, state is: 0000
A1 reads 0409.  Therefore, state is: 0000
A0 reads 0395.  Therefore, state is: 0000
State is:    0, value of A0 is:  394
LOOPING
A9 reads 0354.  Therefore, state is: 0000
A8 reads 0351.  Therefore, state is: 0000
A7 reads 0348.  Therefore, state is: 0000
A6 reads 0372.  Therefore, state is: 0000
A5 reads 0346.  Therefore, state is: 0000
A4 reads 0340.  Therefore, state is: 0000
A3 reads 0331.  Therefore, state is: 0000
A2 reads 0320.  Therefore, state is: 0000
A1 reads 0341.  Therefore, state is: 0000
A0 reads 0331.  Therefore, state is: 0000
State is:    0, value of A0 is:  328
LOOPING
A9 reads 0262.  Therefore, state is: 0000
A8 reads 0261.  Therefore, state is: 0000
A7 reads 0265.  Therefore, state is: 0000
A6 reads 0269.  Therefore, state is: 0000
A5 reads 0273.  Therefore, state is: 0000
A4 reads 0284.  Therefore, state is: 0000
A3 reads 0286.  Therefore, state is: 0000
A2 reads 0259.  Therefore, state is: 0000
A1 reads 0272.  Therefore, state is: 0000
A0 reads 0266.  Therefore, state is: 0000
State is:    0, value of A0 is:  269
LOOPING
A9 reads 0296.  Therefore, state is: 0000
A8 reads 0291.  Therefore, state is: 0000
A7 reads 0286.  Therefore, state is: 0000
A6 reads 0276.  Therefore, state is: 0000
A5 reads 0277.  Therefore, state is: 0000
A4 reads 0273.  Therefore, state is: 0000
A3 reads 0274.  Therefore, state is: 0000
A2 reads 0246.  Therefore, state is: 0000
A1 reads 0250.  Therefore, state is: 0000
A0 reads 0242.  Therefore, state is: 0000
State is:    0, value of A0 is:  245
LOOPING
A9 reads 0251.  Therefore, state is: 0000
A8 reads 0248.  Therefore, state is: 0000
A7 reads 0247.  Therefore, state is: 0000
A6 reads 0283.  Therefore, state is: 0000
A5 reads 0251.  Therefore, state is: 0000
A4 reads 0256.  Therefore, state is: 0000
A3 reads 0261.  Therefore, state is: 0000
A2 reads 0240.  Therefore, state is: 0000
A1 reads 0254.  Therefore, state is: 0000
A0 reads 0251.  Therefore, state is: 0000
State is:    0, value of A0 is:  246
LOOPING
A9 reads 0280.  Therefore, state is: 0000
A8 reads 0280.  Therefore, state is: 0000
A7 reads 0285.  Therefore, state is: 0000
A6 reads 0257.  Therefore, state is: 0000
A5 reads 0288.  Therefore, state is: 0000
A4 reads 0281.  Therefore, state is: 0000
A3 reads 0280.  Therefore, state is: 0000
A2 reads 0276.  Therefore, state is: 0000
A1 reads 0285.  Therefore, state is: 0000
A0 reads 0278.  Therefore, state is: 0000
State is:    0, value of A0 is:  281
LOOPING
A9 reads 0289.  Therefore, state is: 0000
A8 reads 0284.  Therefore, state is: 0000
A7 reads 0279.  Therefore, state is: 0000
A6 reads 0269.  Therefore, state is: 0000
A5 reads 0269.  Therefore, state is: 0000
A4 reads 0265.  Therefore, state is: 0000
A3 reads 0264.  Therefore, state is: 0000
A2 reads 0242.  Therefore, state is: 0000
A1 reads 0246.  Therefore, state is: 0000
A0 reads 0237.  Therefore, state is: 0000
State is:    0, value of A0 is:  239
LOOPING
A9 reads 0248.  Therefore, state is: 0000
A8 reads 0246.  Therefore, state is: 0000
A7 reads 0244.  Therefore, state is: 0000
A6 reads 0279.  Therefore, state is: 0000
A5 reads 0250.  Therefore, state is: 0000
A4 reads 0253.  Therefore, state is: 0000
A3 reads 0257.  Therefore, state is: 0000
A2 reads 0245.  Therefore, state is: 0000
A1 reads 0256.  Therefore, state is: 0000
A0 reads 0253.  Therefore, state is: 0000
State is:    0, value of A0 is:  248
LOOPING
A9 reads 0273.  Therefore, state is: 0000
A8 reads 0274.  Therefore, state is: 0000
A7 reads 0276.  Therefore, state is: 0000
A6 reads 0251.  Therefore, state is: 0000
A5 reads 0279.  Therefore, state is: 0000
A4 reads 0271.  Therefore, state is: 0000
A3 reads 0271.  Therefore, state is: 0000
A2 reads 0265.  Therefore, state is: 0000
A1 reads 0273.  Therefore, state is: 0000
A0 reads 0263.  Therefore, state is: 0000
State is:    0, value of A0 is:  266
LOOPING
A9 reads 0273.  Therefore, state is: 0000
A8 reads 0270.  Therefore, state is: 0000
A7 reads 0265.  Therefore, state is: 0000
A6 reads 0256.  Therefore, state is: 0000
A5 reads 0256.  Therefore, state is: 0000
A4 reads 0252.  Therefore, state is: 0000
A3 reads 0252.  Therefore, state is: 0000
A2 reads 0231.  Therefore, state is: 0000
A1 reads 0233.  Therefore, state is: 0000
A0 reads 0226.  Therefore, state is: 0000
State is:    0, value of A0 is:  228
LOOPING
A9 reads 0277.  Therefore, state is: 0000
A8 reads 0279.  Therefore, state is: 0000
A7 reads 0291.  Therefore, state is: 0000
A6 reads 0309.  Therefore, state is: 0000
A5 reads 0303.  Therefore, state is: 0000
A4 reads 0295.  Therefore, state is: 0000
A3 reads 0293.  Therefore, state is: 0000
A2 reads 0305.  Therefore, state is: 0000
A1 reads 0319.  Therefore, state is: 0000
A0 reads 0320.  Therefore, state is: 0000
State is:    0, value of A0 is:  311
LOOPING
A9 reads 0324.  Therefore, state is: 0000
A8 reads 0327.  Therefore, state is: 0000
A7 reads 0326.  Therefore, state is: 0000
A6 reads 0288.  Therefore, state is: 0000
A5 reads 0323.  Therefore, state is: 0000
A4 reads 0308.  Therefore, state is: 0000
A3 reads 0300.  Therefore, state is: 0000
A2 reads 0301.  Therefore, state is: 0000
A1 reads 0309.  Therefore, state is: 0000
A0 reads 0296.  Therefore, state is: 0000
State is:    0, value of A0 is:  300
LOOPING
A9 reads 0554.  Therefore, state is: 0000
A8 reads 0558.  Therefore, state is: 0000
A7 reads 0551.  Therefore, state is: 0000
A6 reads 0484.  Therefore, state is: 0000
A5 reads 0536.  Therefore, state is: 0000
A4 reads 0477.  Therefore, state is: 0000
A3 reads 0444.  Therefore, state is: 0000
A2 reads 0497.  Therefore, state is: 0000
A1 reads 0525.  Therefore, state is: 0000
A0 reads 0506.  Therefore, state is: 0000
State is:    0, value of A0 is:  508
LOOPING
A9 reads 0464.  Therefore, state is: 0000
A8 reads 0472.  Therefore, state is: 0000
A7 reads 0475.  Therefore, state is: 0000
A6 reads 0460.  Therefore, state is: 0000
A5 reads 0478.  Therefore, state is: 0000
A4 reads 0460.  Therefore, state is: 0000
A3 reads 0436.  Therefore, state is: 0000
A2 reads 0460.  Therefore, state is: 0000
A1 reads 0493.  Therefore, state is: 0000
A0 reads 0483.  Therefore, state is: 0000
State is:    0, value of A0 is:  484
LOOPING
A9 reads 0484.  Therefore, state is: 0000
A8 reads 0490.  Therefore, state is: 0000
A7 reads 0491.  Therefore, state is: 0000
A6 reads 0438.  Therefore, state is: 0000
A5 reads 0483.  Therefore, state is: 0000
A4 reads 0461.  Therefore, state is: 0000
A3 reads 0439.  Therefore, state is: 0000
A2 reads 0442.  Therefore, state is: 0000
A1 reads 0466.  Therefore, state is: 0000
A0 reads 0448.  Therefore, state is: 0000
State is:    0, value of A0 is:  448
LOOPING
A9 reads 0405.  Therefore, state is: 0000
A8 reads 0398.  Therefore, state is: 0000
A7 reads 0392.  Therefore, state is: 0000
A6 reads 0389.  Therefore, state is: 0000
A5 reads 0381.  Therefore, state is: 0000
A4 reads 0381.  Therefore, state is: 0000
A3 reads 0373.  Therefore, state is: 0000
A2 reads 0347.  Therefore, state is: 0000
A1 reads 0367.  Therefore, state is: 0000
A0 reads 0356.  Therefore, state is: 0000
State is:    0, value of A0 is:  361
LOOPING
A9 reads 0279.  Therefore, state is: 0000
A8 reads 0285.  Therefore, state is: 0000
A7 reads 0289.  Therefore, state is: 0000
A6 reads 0342.  Therefore, state is: 0000
A5 reads 0302.  Therefore, state is: 0000
A4 reads 0317.  Therefore, state is: 0000
A3 reads 0320.  Therefore, state is: 0000
A2 reads 0299.  Therefore, state is: 0000
A1 reads 0318.  Therefore, state is: 0000
A0 reads 0316.  Therefore, state is: 0000
State is:    0, value of A0 is:  311
LOOPING
A9 reads 0398.  Therefore, state is: 0000
A8 reads 0398.  Therefore, state is: 0000
A7 reads 0396.  Therefore, state is: 0000
A6 reads 0345.  Therefore, state is: 0000
A5 reads 0388.  Therefore, state is: 0000
A4 reads 0364.  Therefore, state is: 0000
A3 reads 0353.  Therefore, state is: 0000
A2 reads 0350.  Therefore, state is: 0000
A1 reads 0359.  Therefore, state is: 0000
A0 reads 0347.  Therefore, state is: 0000
State is:    0, value of A0 is:  350
LOOPING
A9 reads 0794.  Therefore, state is: 0001
A8 reads 0807.  Therefore, state is: 0003
A7 reads 0806.  Therefore, state is: 0007
A6 reads 0681.  Therefore, state is: 000f
A5 reads 0794.  Therefore, state is: 001f
A4 reads 0697.  Therefore, state is: 003f
A3 reads 0642.  Therefore, state is: 007f
A2 reads 0751.  Therefore, state is: 00ff
A1 reads 0808.  Therefore, state is: 01ff
A0 reads 0789.  Therefore, state is: 03ff
State is: 0x3ff, value of A0 is:  786
LOOPING
A9 reads 0935.  Therefore, state is: 0001
A8 reads 0947.  Therefore, state is: 0003
A7 reads 0952.  Therefore, state is: 0007
A6 reads 0814.  Therefore, state is: 000f
A5 reads 0948.  Therefore, state is: 001f
A4 reads 0866.  Therefore, state is: 003f
A3 reads 0797.  Therefore, state is: 007f
A2 reads 0900.  Therefore, state is: 00ff
A1 reads 0968.  Therefore, state is: 01ff
A0 reads 0942.  Therefore, state is: 03ff
State is: 0x3ff, value of A0 is:  943
LOOPING
A9 reads 0972.  Therefore, state is: 0001
A8 reads 0991.  Therefore, state is: 0003
A7 reads 0989.  Therefore, state is: 0007
A6 reads 0894.  Therefore, state is: 000f
A5 reads 0973.  Therefore, state is: 001f
A4 reads 0913.  Therefore, state is: 003f
A3 reads 0850.  Therefore, state is: 007f
A2 reads 0903.  Therefore, state is: 00ff
A1 reads 0952.  Therefore, state is: 01ff
A0 reads 0936.  Therefore, state is: 03ff
State is: 0x3ff, value of A0 is:  936
LOOPING
A9 reads 0978.  Therefore, state is: 0001
A8 reads 1007.  Therefore, state is: 0003
A7 reads 1016.  Therefore, state is: 0007
A6 reads 0970.  Therefore, state is: 000f
A5 reads 1023.  Therefore, state is: 001f
A4 reads 0991.  Therefore, state is: 003f
A3 reads 0939.  Therefore, state is: 007f
A2 reads 1023.  Therefore, state is: 00ff
A1 reads 1023.  Therefore, state is: 01ff
A0 reads 1023.  Therefore, state is: 03ff
State is: 0x3ff, value of A0 is: 1023
LOOPING
A9 reads 0981.  Therefore, state is: 0001
A8 reads 1018.  Therefore, state is: 0003
